entity,iso_code,date,indicator,value
Sweden,SWE,2020-02-27,Daily ICU occupancy,0.0
Sweden,SWE,2020-02-27,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-02-27,Daily hospital occupancy,1.0
Sweden,SWE,2020-02-27,Daily hospital occupancy per million,0.098
Sweden,SWE,2020-02-28,Daily ICU occupancy,0.0
Sweden,SWE,2020-02-28,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-02-28,Daily hospital occupancy,1.0
Sweden,SWE,2020-02-28,Daily hospital occupancy per million,0.098
Sweden,SWE,2020-02-29,Daily ICU occupancy,0.0
Sweden,SWE,2020-02-29,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-02-29,Daily hospital occupancy,1.0
Sweden,SWE,2020-02-29,Daily hospital occupancy per million,0.098
Sweden,SWE,2020-03-01,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-01,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-01,Daily hospital occupancy,1.0
Sweden,SWE,2020-03-01,Daily hospital occupancy per million,0.098
Sweden,SWE,2020-03-02,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-02,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-02,Daily hospital occupancy,3.0
Sweden,SWE,2020-03-02,Daily hospital occupancy per million,0.295
Sweden,SWE,2020-03-03,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-03,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-03,Daily hospital occupancy,3.0
Sweden,SWE,2020-03-03,Daily hospital occupancy per million,0.295
Sweden,SWE,2020-03-04,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-04,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-04,Daily hospital occupancy,3.0
Sweden,SWE,2020-03-04,Daily hospital occupancy per million,0.295
Sweden,SWE,2020-03-05,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-05,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-05,Daily hospital occupancy,6.0
Sweden,SWE,2020-03-05,Daily hospital occupancy per million,0.591
Sweden,SWE,2020-03-06,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-06,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-06,Daily hospital occupancy,7.0
Sweden,SWE,2020-03-06,Daily hospital occupancy per million,0.689
Sweden,SWE,2020-03-07,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-07,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-07,Daily hospital occupancy,7.0
Sweden,SWE,2020-03-07,Daily hospital occupancy per million,0.689
Sweden,SWE,2020-03-08,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-08,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-08,Daily hospital occupancy,7.0
Sweden,SWE,2020-03-08,Daily hospital occupancy per million,0.689
Sweden,SWE,2020-03-09,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-09,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-09,Daily hospital occupancy,10.0
Sweden,SWE,2020-03-09,Daily hospital occupancy per million,0.984
Sweden,SWE,2020-03-10,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-10,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-10,Daily hospital occupancy,14.0
Sweden,SWE,2020-03-10,Daily hospital occupancy per million,1.378
Sweden,SWE,2020-03-11,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-11,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-11,Daily hospital occupancy,18.0
Sweden,SWE,2020-03-11,Daily hospital occupancy per million,1.772
Sweden,SWE,2020-03-12,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-12,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-12,Daily hospital occupancy,15.0
Sweden,SWE,2020-03-12,Daily hospital occupancy per million,1.476
Sweden,SWE,2020-03-13,Daily ICU occupancy,0.0
Sweden,SWE,2020-03-13,Daily ICU occupancy per million,0.0
Sweden,SWE,2020-03-13,Daily hospital occupancy,16.0
Sweden,SWE,2020-03-13,Daily hospital occupancy per million,1.575
Sweden,SWE,2020-03-14,Daily ICU occupancy,1.0
Sweden,SWE,2020-03-14,Daily ICU occupancy per million,0.098
Sweden,SWE,2020-03-14,Daily hospital occupancy,18.0
Sweden,SWE,2020-03-14,Daily hospital occupancy per million,1.772
Sweden,SWE,2020-03-15,Daily ICU occupancy,2.0
Sweden,SWE,2020-03-15,Daily ICU occupancy per million,0.197
Sweden,SWE,2020-03-15,Daily hospital occupancy,23.0
Sweden,SWE,2020-03-15,Daily hospital occupancy per million,2.264
Sweden,SWE,2020-03-16,Daily ICU occupancy,3.0
Sweden,SWE,2020-03-16,Daily ICU occupancy per million,0.295
Sweden,SWE,2020-03-16,Daily hospital occupancy,26.0
Sweden,SWE,2020-03-16,Daily hospital occupancy per million,2.559
Sweden,SWE,2020-03-17,Daily ICU occupancy,3.0
Sweden,SWE,2020-03-17,Daily ICU occupancy per million,0.295
Sweden,SWE,2020-03-17,Daily hospital occupancy,45.0
Sweden,SWE,2020-03-17,Daily hospital occupancy per million,4.429
Sweden,SWE,2020-03-18,Daily ICU occupancy,7.0
Sweden,SWE,2020-03-18,Daily ICU occupancy per million,0.689
Sweden,SWE,2020-03-18,Daily hospital occupancy,64.0
Sweden,SWE,2020-03-18,Daily hospital occupancy per million,6.299
Sweden,SWE,2020-03-19,Daily ICU occupancy,31.0
Sweden,SWE,2020-03-19,Daily ICU occupancy per million,3.051
Sweden,SWE,2020-03-19,Daily hospital occupancy,207.0
Sweden,SWE,2020-03-19,Daily hospital occupancy per million,20.374
Sweden,SWE,2020-03-20,Daily ICU occupancy,35.0
Sweden,SWE,2020-03-20,Daily ICU occupancy per million,3.445
Sweden,SWE,2020-03-20,Daily hospital occupancy,265.0
Sweden,SWE,2020-03-20,Daily hospital occupancy per million,26.082
Sweden,SWE,2020-03-21,Daily ICU occupancy,56.0
Sweden,SWE,2020-03-21,Daily ICU occupancy per million,5.512
Sweden,SWE,2020-03-21,Daily hospital occupancy,317.0
Sweden,SWE,2020-03-21,Daily hospital occupancy per million,31.2
Sweden,SWE,2020-03-22,Daily ICU occupancy,62.0
Sweden,SWE,2020-03-22,Daily ICU occupancy per million,6.102
Sweden,SWE,2020-03-22,Daily hospital occupancy,383.0
Sweden,SWE,2020-03-22,Daily hospital occupancy per million,37.696
Sweden,SWE,2020-03-23,Daily ICU occupancy,94.0
Sweden,SWE,2020-03-23,Daily ICU occupancy per million,9.252
Sweden,SWE,2020-03-23,Daily hospital occupancy,460.0
Sweden,SWE,2020-03-23,Daily hospital occupancy per million,45.275
Sweden,SWE,2020-03-24,Daily ICU occupancy,106.0
Sweden,SWE,2020-03-24,Daily ICU occupancy per million,10.433
Sweden,SWE,2020-03-24,Daily hospital occupancy,530.0
Sweden,SWE,2020-03-24,Daily hospital occupancy per million,52.165
Sweden,SWE,2020-03-25,Daily ICU occupancy,132.0
Sweden,SWE,2020-03-25,Daily ICU occupancy per million,12.992
Sweden,SWE,2020-03-25,Daily hospital occupancy,637.0
Sweden,SWE,2020-03-25,Daily hospital occupancy per million,62.696
Sweden,SWE,2020-03-26,Daily ICU occupancy,161.0
Sweden,SWE,2020-03-26,Daily ICU occupancy per million,15.846
Sweden,SWE,2020-03-26,Daily hospital occupancy,750.0
Sweden,SWE,2020-03-26,Daily hospital occupancy per million,73.818
Sweden,SWE,2020-03-27,Daily ICU occupancy,187.0
Sweden,SWE,2020-03-27,Daily ICU occupancy per million,18.405
Sweden,SWE,2020-03-27,Daily hospital occupancy,879.0
Sweden,SWE,2020-03-27,Daily hospital occupancy per million,86.514
Sweden,SWE,2020-03-28,Daily ICU occupancy,199.0
Sweden,SWE,2020-03-28,Daily ICU occupancy per million,19.586
Sweden,SWE,2020-03-28,Daily hospital occupancy,947.0
Sweden,SWE,2020-03-28,Daily hospital occupancy per million,93.207
Sweden,SWE,2020-03-29,Daily ICU occupancy,221.0
Sweden,SWE,2020-03-29,Daily ICU occupancy per million,21.752
Sweden,SWE,2020-03-29,Daily hospital occupancy,1044.0
Sweden,SWE,2020-03-29,Daily hospital occupancy per million,102.754
Sweden,SWE,2020-03-30,Daily ICU occupancy,262.0
Sweden,SWE,2020-03-30,Daily ICU occupancy per million,25.787
Sweden,SWE,2020-03-30,Daily hospital occupancy,1162.0
Sweden,SWE,2020-03-30,Daily hospital occupancy per million,114.368
Sweden,SWE,2020-03-31,Daily ICU occupancy,298.0
Sweden,SWE,2020-03-31,Daily ICU occupancy per million,29.33
Sweden,SWE,2020-03-31,Daily hospital occupancy,1295.0
Sweden,SWE,2020-03-31,Daily hospital occupancy per million,127.459
Sweden,SWE,2020-04-01,Daily ICU occupancy,315.0
Sweden,SWE,2020-04-01,Daily ICU occupancy per million,31.003
Sweden,SWE,2020-04-01,Daily hospital occupancy,1381.0
Sweden,SWE,2020-04-01,Daily hospital occupancy per million,135.923
Sweden,SWE,2020-04-02,Daily ICU occupancy,342.0
Sweden,SWE,2020-04-02,Daily ICU occupancy per million,33.661
Sweden,SWE,2020-04-02,Daily hospital occupancy,1486.0
Sweden,SWE,2020-04-02,Daily hospital occupancy per million,146.258
Sweden,SWE,2020-04-03,Daily ICU occupancy,361.0
Sweden,SWE,2020-04-03,Daily ICU occupancy per million,35.531
Sweden,SWE,2020-04-03,Daily hospital occupancy,1523.0
Sweden,SWE,2020-04-03,Daily hospital occupancy per million,149.899
Sweden,SWE,2020-04-04,Daily ICU occupancy,378.0
Sweden,SWE,2020-04-04,Daily ICU occupancy per million,37.204
Sweden,SWE,2020-04-04,Daily hospital occupancy,1569.0
Sweden,SWE,2020-04-04,Daily hospital occupancy per million,154.427
Sweden,SWE,2020-04-05,Daily ICU occupancy,404.0
Sweden,SWE,2020-04-05,Daily ICU occupancy per million,39.763
Sweden,SWE,2020-04-05,Daily hospital occupancy,1773.0
Sweden,SWE,2020-04-05,Daily hospital occupancy per million,174.505
Sweden,SWE,2020-04-06,Daily ICU occupancy,422.0
Sweden,SWE,2020-04-06,Daily ICU occupancy per million,41.535
Sweden,SWE,2020-04-06,Daily hospital occupancy,1807.0
Sweden,SWE,2020-04-06,Daily hospital occupancy per million,177.852
Sweden,SWE,2020-04-07,Daily ICU occupancy,434.0
Sweden,SWE,2020-04-07,Daily ICU occupancy per million,42.716
Sweden,SWE,2020-04-07,Daily hospital occupancy,1864.0
Sweden,SWE,2020-04-07,Daily hospital occupancy per million,183.462
Sweden,SWE,2020-04-08,Daily ICU occupancy,454.0
Sweden,SWE,2020-04-08,Daily ICU occupancy per million,44.684
Sweden,SWE,2020-04-08,Daily hospital occupancy,1912.0
Sweden,SWE,2020-04-08,Daily hospital occupancy per million,188.186
Sweden,SWE,2020-04-09,Daily ICU occupancy,465.0
Sweden,SWE,2020-04-09,Daily ICU occupancy per million,45.767
Sweden,SWE,2020-04-09,Daily hospital occupancy,1922.0
Sweden,SWE,2020-04-09,Daily hospital occupancy per million,189.17
Sweden,SWE,2020-04-10,Daily ICU occupancy,482.0
Sweden,SWE,2020-04-10,Daily ICU occupancy per million,47.44
Sweden,SWE,2020-04-10,Daily hospital occupancy,2011.0
Sweden,SWE,2020-04-10,Daily hospital occupancy per million,197.93
Sweden,SWE,2020-04-11,Daily ICU occupancy,494.0
Sweden,SWE,2020-04-11,Daily ICU occupancy per million,48.621
Sweden,SWE,2020-04-11,Daily hospital occupancy,2054.0
Sweden,SWE,2020-04-11,Daily hospital occupancy per million,202.162
Sweden,SWE,2020-04-12,Daily ICU occupancy,504.0
Sweden,SWE,2020-04-12,Daily ICU occupancy per million,49.606
Sweden,SWE,2020-04-12,Daily hospital occupancy,2104.0
Sweden,SWE,2020-04-12,Daily hospital occupancy per million,207.083
Sweden,SWE,2020-04-13,Daily ICU occupancy,517.0
Sweden,SWE,2020-04-13,Daily ICU occupancy per million,50.885
Sweden,SWE,2020-04-13,Daily hospital occupancy,2175.0
Sweden,SWE,2020-04-13,Daily hospital occupancy per million,214.071
Sweden,SWE,2020-04-14,Daily ICU occupancy,518.0
Sweden,SWE,2020-04-14,Daily ICU occupancy per million,50.983
Sweden,SWE,2020-04-14,Daily hospital occupancy,2199.0
Sweden,SWE,2020-04-14,Daily hospital occupancy per million,216.434
Sweden,SWE,2020-04-15,Daily ICU occupancy,526.0
Sweden,SWE,2020-04-15,Daily ICU occupancy per million,51.771
Sweden,SWE,2020-04-15,Daily hospital occupancy,2228.0
Sweden,SWE,2020-04-15,Daily hospital occupancy per million,219.288
Sweden,SWE,2020-04-16,Daily ICU occupancy,522.0
Sweden,SWE,2020-04-16,Daily ICU occupancy per million,51.377
Sweden,SWE,2020-04-16,Daily hospital occupancy,2228.0
Sweden,SWE,2020-04-16,Daily hospital occupancy per million,219.288
Sweden,SWE,2020-04-17,Daily ICU occupancy,516.0
Sweden,SWE,2020-04-17,Daily ICU occupancy per million,50.787
Sweden,SWE,2020-04-17,Daily hospital occupancy,2265.0
Sweden,SWE,2020-04-17,Daily hospital occupancy per million,222.93
Sweden,SWE,2020-04-18,Daily ICU occupancy,526.0
Sweden,SWE,2020-04-18,Daily ICU occupancy per million,51.771
Sweden,SWE,2020-04-18,Daily hospital occupancy,2219.0
Sweden,SWE,2020-04-18,Daily hospital occupancy per million,218.402
Sweden,SWE,2020-04-19,Daily ICU occupancy,513.0
Sweden,SWE,2020-04-19,Daily ICU occupancy per million,50.491
Sweden,SWE,2020-04-19,Daily hospital occupancy,2275.0
Sweden,SWE,2020-04-19,Daily hospital occupancy per million,223.914
Sweden,SWE,2020-04-20,Daily ICU occupancy,539.0
Sweden,SWE,2020-04-20,Daily ICU occupancy per million,53.05
Sweden,SWE,2020-04-20,Daily hospital occupancy,2319.0
Sweden,SWE,2020-04-20,Daily hospital occupancy per million,228.244
Sweden,SWE,2020-04-21,Daily ICU occupancy,520.0
Sweden,SWE,2020-04-21,Daily ICU occupancy per million,51.18
Sweden,SWE,2020-04-21,Daily hospital occupancy,2233.0
Sweden,SWE,2020-04-21,Daily hospital occupancy per million,219.78
Sweden,SWE,2020-04-22,Daily ICU occupancy,515.0
Sweden,SWE,2020-04-22,Daily ICU occupancy per million,50.688
Sweden,SWE,2020-04-22,Daily hospital occupancy,2240.0
Sweden,SWE,2020-04-22,Daily hospital occupancy per million,220.469
Sweden,SWE,2020-04-23,Daily ICU occupancy,539.0
Sweden,SWE,2020-04-23,Daily ICU occupancy per million,53.05
Sweden,SWE,2020-04-23,Daily hospital occupancy,2243.0
Sweden,SWE,2020-04-23,Daily hospital occupancy per million,220.764
Sweden,SWE,2020-04-24,Daily ICU occupancy,537.0
Sweden,SWE,2020-04-24,Daily ICU occupancy per million,52.854
Sweden,SWE,2020-04-24,Daily hospital occupancy,2236.0
Sweden,SWE,2020-04-24,Daily hospital occupancy per million,220.075
Sweden,SWE,2020-04-25,Daily ICU occupancy,551.0
Sweden,SWE,2020-04-25,Daily ICU occupancy per million,54.231
Sweden,SWE,2020-04-25,Daily hospital occupancy,2244.0
Sweden,SWE,2020-04-25,Daily hospital occupancy per million,220.863
Sweden,SWE,2020-04-26,Daily ICU occupancy,542.0
Sweden,SWE,2020-04-26,Daily ICU occupancy per million,53.346
Sweden,SWE,2020-04-26,Daily hospital occupancy,2262.0
Sweden,SWE,2020-04-26,Daily hospital occupancy per million,222.634
Sweden,SWE,2020-04-27,Daily ICU occupancy,533.0
Sweden,SWE,2020-04-27,Daily ICU occupancy per million,52.46
Sweden,SWE,2020-04-27,Daily hospital occupancy,2312.0
Sweden,SWE,2020-04-27,Daily hospital occupancy per million,227.555
Sweden,SWE,2020-04-28,Daily ICU occupancy,529.0
Sweden,SWE,2020-04-28,Daily ICU occupancy per million,52.066
Sweden,SWE,2020-04-28,Daily hospital occupancy,2278.0
Sweden,SWE,2020-04-28,Daily hospital occupancy per million,224.209
Sweden,SWE,2020-04-29,Daily ICU occupancy,541.0
Sweden,SWE,2020-04-29,Daily ICU occupancy per million,53.247
Sweden,SWE,2020-04-29,Daily hospital occupancy,2221.0
Sweden,SWE,2020-04-29,Daily hospital occupancy per million,218.599
Sweden,SWE,2020-04-30,Daily ICU occupancy,521.0
Sweden,SWE,2020-04-30,Daily ICU occupancy per million,51.279
Sweden,SWE,2020-04-30,Daily hospital occupancy,2229.0
Sweden,SWE,2020-04-30,Daily hospital occupancy per million,219.386
Sweden,SWE,2020-05-01,Daily ICU occupancy,518.0
Sweden,SWE,2020-05-01,Daily ICU occupancy per million,50.983
Sweden,SWE,2020-05-01,Daily hospital occupancy,2144.0
Sweden,SWE,2020-05-01,Daily hospital occupancy per million,211.02
Sweden,SWE,2020-05-02,Daily ICU occupancy,518.0
Sweden,SWE,2020-05-02,Daily ICU occupancy per million,50.983
Sweden,SWE,2020-05-02,Daily hospital occupancy,2172.0
Sweden,SWE,2020-05-02,Daily hospital occupancy per million,213.776
Sweden,SWE,2020-05-03,Daily ICU occupancy,512.0
Sweden,SWE,2020-05-03,Daily ICU occupancy per million,50.393
Sweden,SWE,2020-05-03,Daily hospital occupancy,2205.0
Sweden,SWE,2020-05-03,Daily hospital occupancy per million,217.024
Sweden,SWE,2020-05-04,Daily ICU occupancy,511.0
Sweden,SWE,2020-05-04,Daily ICU occupancy per million,50.294
Sweden,SWE,2020-05-04,Daily hospital occupancy,2255.0
Sweden,SWE,2020-05-04,Daily hospital occupancy per million,221.945
Sweden,SWE,2020-05-05,Daily ICU occupancy,497.0
Sweden,SWE,2020-05-05,Daily ICU occupancy per million,48.917
Sweden,SWE,2020-05-05,Daily hospital occupancy,2264.0
Sweden,SWE,2020-05-05,Daily hospital occupancy per million,222.831
Sweden,SWE,2020-05-06,Daily ICU occupancy,487.0
Sweden,SWE,2020-05-06,Daily ICU occupancy per million,47.932
Sweden,SWE,2020-05-06,Daily hospital occupancy,2220.0
Sweden,SWE,2020-05-06,Daily hospital occupancy per million,218.501
Sweden,SWE,2020-05-07,Daily ICU occupancy,480.0
Sweden,SWE,2020-05-07,Daily ICU occupancy per million,47.243
Sweden,SWE,2020-05-07,Daily hospital occupancy,2184.0
Sweden,SWE,2020-05-07,Daily hospital occupancy per million,214.957
Sweden,SWE,2020-05-08,Daily ICU occupancy,467.0
Sweden,SWE,2020-05-08,Daily ICU occupancy per million,45.964
Sweden,SWE,2020-05-08,Daily hospital occupancy,2120.0
Sweden,SWE,2020-05-08,Daily hospital occupancy per million,208.658
Sweden,SWE,2020-05-09,Daily ICU occupancy,464.0
Sweden,SWE,2020-05-09,Daily ICU occupancy per million,45.669
Sweden,SWE,2020-05-09,Daily hospital occupancy,2064.0
Sweden,SWE,2020-05-09,Daily hospital occupancy per million,203.146
Sweden,SWE,2020-05-10,Daily ICU occupancy,448.0
Sweden,SWE,2020-05-10,Daily ICU occupancy per million,44.094
Sweden,SWE,2020-05-10,Daily hospital occupancy,2065.0
Sweden,SWE,2020-05-10,Daily hospital occupancy per million,203.245
Sweden,SWE,2020-05-11,Daily ICU occupancy,437.0
Sweden,SWE,2020-05-11,Daily ICU occupancy per million,43.011
Sweden,SWE,2020-05-11,Daily hospital occupancy,2072.0
Sweden,SWE,2020-05-11,Daily hospital occupancy per million,203.934
Sweden,SWE,2020-05-12,Daily ICU occupancy,426.0
Sweden,SWE,2020-05-12,Daily ICU occupancy per million,41.928
Sweden,SWE,2020-05-12,Daily hospital occupancy,1993.0
Sweden,SWE,2020-05-12,Daily hospital occupancy per million,196.158
Sweden,SWE,2020-05-13,Daily ICU occupancy,415.0
Sweden,SWE,2020-05-13,Daily ICU occupancy per million,40.846
Sweden,SWE,2020-05-13,Daily hospital occupancy,1970.0
Sweden,SWE,2020-05-13,Daily hospital occupancy per million,193.895
Sweden,SWE,2020-05-14,Daily ICU occupancy,403.0
Sweden,SWE,2020-05-14,Daily ICU occupancy per million,39.665
Sweden,SWE,2020-05-14,Daily hospital occupancy,1911.0
Sweden,SWE,2020-05-14,Daily hospital occupancy per million,188.088
