date,raw,homo,adjust,site
2020-01-03,5.6,4.9,4.9,3
2020-01-04,2.2,1.5,1.5,3
2020-01-05,-0.1,-0.8,-0.8,3
2020-01-06,4.7,4.0,4.0,3
2020-01-07,5.4,4.7,4.7,3
2020-01-08,6.9,6.2,6.2,3
2020-01-09,3.8,3.1,3.1,3
2020-01-10,0.9,0.2,0.2,3
2020-01-11,1.1,0.3,0.3,3
2020-01-12,6.1,5.3,5.3,3
2020-01-13,2.6,1.8,1.8,3
2020-01-14,3.9,3.1,3.1,3
2020-01-15,7.9,7.1,7.1,3
2020-01-16,6.3,5.5,5.5,3
2020-01-17,4.8,4.0,4.0,3
2020-01-18,4.9,4.1,4.1,3
2020-01-19,3.1,2.3,2.3,3
2020-01-20,3.9,3.1,3.1,3
2020-01-21,6.8,6.0,6.0,3
2020-01-22,3.5,2.7,2.7,3
2020-01-23,1.5,0.7,0.7,3
2020-01-24,5.3,4.5,4.5,3
2020-01-25,2.3,1.5,1.5,3
2020-01-26,5.9,5.1,5.1,3
2020-01-27,4.8,4.0,4.0,3
2020-01-28,3.5,2.7,2.7,3
2020-01-29,3.4,2.6,2.6,3
2020-01-30,2.5,1.7,1.7,3
2020-01-31,3.0,2.2,2.2,3
2020-02-01,6.1,5.3,5.3,3
2020-02-02,3.7,2.9,2.9,3
2020-02-03,0.4,-0.4,-0.4,3
2020-02-04,-1.2,-2.0,-2.0,3
2020-02-05,0.4,-0.4,-0.4,3
2020-02-06,0.4,-0.4,-0.4,3
2020-02-07,0.2,-0.6,-0.6,3
2020-02-08,2.4,1.6,1.6,3
2020-02-09,4.5,3.7,3.7,3
2020-02-10,5.8,5.0,5.0,3
2020-02-11,3.9,3.1,3.1,3
2020-02-12,3.3,2.5,2.5,3
2020-02-13,1.1,0.3,0.3,3
2020-02-14,0.8,0.0,0.0,3
2020-02-15,3.6,2.8,2.8,3
2020-02-16,7.2,6.3,6.3,3
2020-02-17,6.6,5.7,5.7,3
2020-02-18,6.6,5.7,5.7,3
2020-02-19,4.7,3.8,3.8,3
2020-02-20,2.8,1.9,1.9,3
2020-02-21,5.8,4.9,4.9,3
2020-02-22,6.4,5.5,5.5,3
2020-02-23,5.3,4.4,4.4,3
2020-02-24,2.5,1.6,1.6,3
2020-02-25,1.5,0.6,0.6,3
2020-02-26,0.3,-0.6,-0.6,3
2020-02-27,-1.3,-2.2,-2.2,3
2020-02-28,-1.2,-2.1,-2.1,3
2020-02-29,1.4,0.5,0.5,3
2020-03-01,4.2,3.3,3.3,3
2020-03-02,4.6,3.7,3.7,3
2020-03-03,3.8,2.9,2.9,3
2020-03-04,1.9,1.0,1.0,3
2020-03-05,2.0,1.1,1.1,3
2020-03-06,2.3,1.4,1.4,3
2020-03-07,1.9,1.0,1.0,3
2020-03-08,4.7,3.8,3.8,3
2020-03-09,7.0,6.1,6.1,3
2020-03-10,5.2,4.3,4.3,3
2020-03-11,5.2,4.3,4.3,3
2020-03-12,3.8,2.9,2.9,3
2020-03-13,2.0,1.0,1.0,3
2020-03-14,-0.9,-1.9,-1.9,3
2020-03-15,3.5,2.5,2.5,3
2020-03-16,4.1,3.1,3.1,3
2020-03-17,5.5,4.6,4.6,3
2020-03-18,6.2,5.3,5.3,3
2020-03-19,5.6,4.7,4.7,3
2020-03-20,1.8,0.9,0.9,3
2020-03-21,0.2,-0.7,-0.7,3
2020-03-22,0.4,-0.5,-0.5,3
2020-03-23,2.7,1.8,1.8,3
2020-03-24,4.2,3.3,3.3,3
2020-03-25,7.3,6.4,6.4,3
2020-03-26,6.7,5.8,5.8,3
2020-03-27,6.1,5.2,5.2,3
2020-03-28,5.3,4.4,4.4,3
2020-03-29,1.3,0.4,0.4,3
2020-03-30,-0.5,-1.4,-1.4,3
2020-03-31,3.1,2.2,2.2,3
2020-04-01,6.2,5.3,5.3,3
2020-04-02,4.8,3.9,3.9,3
2020-04-03,3.5,2.6,2.6,3
2020-04-04,3.7,2.8,2.8,3
2020-04-05,6.1,5.2,5.2,3
2020-04-06,9.5,8.7,8.7,3
2020-04-07,7.9,7.1,7.1,3
2020-04-08,9.9,9.1,9.1,3
2020-04-09,7.9,7.1,7.1,3
2020-04-10,5.7,4.9,4.9,3
2020-04-11,6.8,6.0,6.0,3
2020-04-12,8.8,8.0,8.0,3
2020-04-13,4.4,3.6,3.6,3
