location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Sweden,SWE,2021-01-03,2477,1887,,,,,0.02,0.02,,,,,
Sweden,SWE,2021-01-04,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-05,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-06,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-07,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-08,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-09,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-10,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-11,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-12,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-13,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-14,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-15,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-16,,,,,,9312,,,,,917,7973,0.078
Sweden,SWE,2021-01-17,132852,113513,73,,,9312,1.31,1.12,0.0,,917,7973,0.078
Sweden,SWE,2021-01-18,,,,,,10363,,,,,1020,8867,0.087
Sweden,SWE,2021-01-19,,,,,,11413,,,,,1123,9761,0.096
Sweden,SWE,2021-01-20,,,,,,12464,,,,,1227,10655,0.105
Sweden,SWE,2021-01-21,,,,,,13514,,,,,1330,11550,0.114
Sweden,SWE,2021-01-22,,,,,,14564,,,,,1433,12444,0.122
Sweden,SWE,2021-01-23,,,,,,15615,,,,,1537,13338,0.131
Sweden,SWE,2021-01-24,249508,213135,9128,,,16665,2.46,2.1,0.09,,1640,14232,0.14
Sweden,SWE,2021-01-25,,,,,,16151,,,,,1590,13458,0.132
Sweden,SWE,2021-01-26,,,,,,15637,,,,,1539,12684,0.125
Sweden,SWE,2021-01-27,,,,,,15123,,,,,1488,11910,0.117
Sweden,SWE,2021-01-28,,,,,,14609,,,,,1438,11136,0.11
Sweden,SWE,2021-01-29,,,,,,14095,,,,,1387,10362,0.102
Sweden,SWE,2021-01-30,,,,,,13581,,,,,1337,9588,0.094
Sweden,SWE,2021-01-31,340978,274837,30807,,,13067,3.36,2.71,0.3,,1286,8815,0.087
Sweden,SWE,2021-02-01,,,,,,13251,,,,,1304,8390,0.083
Sweden,SWE,2021-02-02,,,,,,13435,,,,,1322,7965,0.078
Sweden,SWE,2021-02-03,,,,,,13619,,,,,1340,7540,0.074
Sweden,SWE,2021-02-04,,,,,,13802,,,,,1358,7115,0.07
Sweden,SWE,2021-02-05,,,,,,13986,,,,,1377,6690,0.066
Sweden,SWE,2021-02-06,,,,,,14170,,,,,1395,6265,0.062
Sweden,SWE,2021-02-07,441455,315719,81651,,,14354,4.34,3.11,0.8,,1413,5840,0.057
Sweden,SWE,2021-02-08,,,,,,14720,,,,,1449,5909,0.058
Sweden,SWE,2021-02-09,,,,,,15086,,,,,1485,5979,0.059
Sweden,SWE,2021-02-10,,,,,,15452,,,,,1521,6048,0.06
Sweden,SWE,2021-02-11,,,,,,15818,,,,,1557,6117,0.06
Sweden,SWE,2021-02-12,,,,,,16185,,,,,1593,6186,0.061
Sweden,SWE,2021-02-13,,,,,,16551,,,,,1629,6255,0.062
Sweden,SWE,2021-02-14,559873,359989,148303,,,16917,5.51,3.54,1.46,,1665,6324,0.062
Sweden,SWE,2021-02-15,,,,,,17666,,,,,1739,6796,0.067
Sweden,SWE,2021-02-16,,,,,,18415,,,,,1812,7269,0.072
Sweden,SWE,2021-02-17,,,,,,19165,,,,,1886,7741,0.076
Sweden,SWE,2021-02-18,,,,,,19914,,,,,1960,8213,0.081
Sweden,SWE,2021-02-19,,,,,,20663,,,,,2034,8685,0.085
Sweden,SWE,2021-02-20,,,,,,21413,,,,,2108,9157,0.09
Sweden,SWE,2021-02-21,715007,427396,229437,,,22162,7.04,4.21,2.26,,2181,9630,0.095
Sweden,SWE,2021-02-22,,,,,,22201,,,,,2185,10259,0.101
Sweden,SWE,2021-02-23,,,,,,22239,,,,,2189,10888,0.107
Sweden,SWE,2021-02-24,,,,,,22278,,,,,2193,11517,0.113
Sweden,SWE,2021-02-25,,,,,,22316,,,,,2196,12146,0.12
Sweden,SWE,2021-02-26,,,,,,22355,,,,,2200,12775,0.126
Sweden,SWE,2021-02-27,,,,,,22393,,,,,2204,13404,0.132
Sweden,SWE,2021-02-28,872028,525626,282426,,,22432,8.58,5.17,2.78,,2208,14033,0.138
Sweden,SWE,2021-03-01,,,,,,23114,,,,,2275,15064,0.148
Sweden,SWE,2021-03-02,,,,,,23797,,,,,2342,16096,0.158
Sweden,SWE,2021-03-03,,,,,,24479,,,,,2409,17127,0.169
Sweden,SWE,2021-03-04,,,,,,25162,,,,,2477,18159,0.179
Sweden,SWE,2021-03-05,,,,,,25845,,,,,2544,19190,0.189
Sweden,SWE,2021-03-06,,,,,,26527,,,,,2611,20222,0.199
Sweden,SWE,2021-03-07,1062497,674399,318636,,,27210,10.46,6.64,3.14,,2678,21253,0.209
Sweden,SWE,2021-03-08,,,,,,27851,,,,,2741,21867,0.215
Sweden,SWE,2021-03-09,,,,,,28492,,,,,2804,22481,0.221
Sweden,SWE,2021-03-10,,,,,,29133,,,,,2867,23095,0.227
Sweden,SWE,2021-03-11,,,,,,29773,,,,,2930,23709,0.233
